[82] Pienińska pętla 03 - Lubelska Zajezdnia MPK
route_id	service_id	trip_id	arrival_time	departure_time	stop_headsign	stop_name
----------------------------------------------------------------------
82-1	2	8	20:55:00	20:55:00		Pienińska pętla 03
82-1	2	8	20:56:00	20:56:00		Pienińska / Matysowska 01 nż
82-1	2	8	20:57:00	20:57:00		Matysowska / Św. Walentego 05 nż
82-1	2	8	20:58:00	20:58:00		Matysowska górka 03 nż
82-1	2	8	21:00:00	21:00:00		Matysowska szkoła 01 nż
82-1	2	8	21:02:00	21:02:00		Kiepury / Wichrowa 03 nż
82-1	2	8	21:03:00	21:03:00		Kiepury / Herberta 01 nż
82-1	2	8	21:05:00	21:05:00		Łukasiewicza pętla 10
82-1	2	8	21:06:00	21:06:00		Łukasiewicza / Sasanki 03 nż
82-1	2	8	21:07:00	21:07:00		Łukasiewicza / Krokusowa 01 nż
82-1	2	8	21:08:00	21:08:00		Sikorskiego katedra 01 nż
82-1	2	8	21:10:00	21:10:00		Rejtana / Armii Krajowej 12
82-1	2	8	21:11:00	21:11:00		Rejtana / Paderewskiego 10
82-1	2	8	21:12:00	21:12:00		Rejtana / Krzyżanowskiego 08
82-1	2	8	21:13:00	21:13:00		Rejtana uniwersytet 06
82-1	2	8	21:14:00	21:14:00		Rejtana cmentarz 04 nż
82-1	2	8	21:15:00	21:15:00		Rejtana / Kustronia 02
82-1	2	8	21:17:00	21:17:00		Piłsudskiego ZDZ 02
82-1	2	8	21:18:00	21:18:00		Głowackiego ZUS 01
82-1	2	8	21:20:00	21:20:00		Dworzec Główny PKP 01
82-1	2	8	21:21:00	21:21:00		Piłsudskiego U. Wojewódzki 06
82-1	2	8	21:23:00	21:23:00		Marszałkowska 02
82-1	2	8	21:24:00	21:24:00		Lubelska szpital 02
82-1	2	8	21:25:00	21:25:00		Lubelska kościół 06 nż
82-1	2	8	21:26:00	21:26:00		Lubelska / Borowa 08 nż
82-1	2	8	21:27:00	21:27:00		Lubelska Os. Ogrody 10 nż
82-1	2	8	21:28:00	21:28:00		Lubelska Ogrody Hiszpańskie 12 nż
82-1	2	8	21:29:00	21:29:00		Lubelska MPK 14 nż
82-1	2	8	21:30:00	21:30:00		Lubelska Zajezdnia MPK
