[89] Miłocińska pętla 01 - Lubelska Zajezdnia MPK
route_id	service_id	trip_id	arrival_time	departure_time	stop_name

89-1	2	16	20:50:00	20:50:00	Miłocińska pętla 01
89-1	2	16	20:51:00	20:51:00	Miłocińska szkoła 02 nż
89-1	2	16	20:53:00	20:53:00	Obr. Poczty Gdańskiej / Miłocińska 03
89-1	2	16	20:54:00	20:54:00	Obr. Poczty Gdańskiej / Raginisa 01
89-1	2	16	20:56:00	20:56:00	Wyzwolenia / Ofiar Katynia 09
89-1	2	16	20:57:00	20:57:00	Wyzwolenia kościół 07
89-1	2	16	20:58:00	20:58:00	Okulickiego / Wyzwolenia 05 nż
89-1	2	16	20:59:00	20:59:00	Okulickiego / Zwierzyniecka 03 nż
89-1	2	16	21:00:00	21:00:00	Okulickiego centrum handlowe 01
89-1	2	16	21:03:00	21:03:00	Krakowska jedn. wojskowa 01
89-1	2	16	21:05:00	21:05:00	Piłsudskiego U. Wojewódzki 05
89-1	2	16	21:08:00	21:08:00	Dworzec Główny PKP 03
89-1	2	16	21:12:00	21:12:00	Siemieńskiego / Kochanowskiego 02 nż
89-1	2	16	21:13:00	21:13:00	Siemieńskiego U. Skarbowy 04 nż
89-1	2	16	21:14:00	21:14:00	Trembeckiego / Siemieńskiego 07 nż
89-1	2	16	21:15:00	21:15:00	Trembeckiego ZTM 05 nż
89-1	2	16	21:17:00	21:17:00	Lubelska / Borowa 08 nż
89-1	2	16	21:18:00	21:18:00	Lubelska Os. Ogrody 10 nż
89-1	2	16	21:19:00	21:19:00	Lubelska Ogrody Hiszpańskie 12 nż
89-1	2	16	21:20:00	21:20:00	Lubelska MPK 14 nż
89-1	2	16	21:21:00	21:21:00	Lubelska Zajezdnia MPK
