[83] Lubelska Zajezdnia MPK - Pienińska pętla 03
route_id	service_id	trip_id	arrival_time	departure_time	stop_headsign	stop_name

83-1	2	9	14:30:00	14:30:00		Lubelska Zajezdnia MPK
83-1	2	9	14:31:00	14:31:00		Lubelska MPK 13 nż
83-1	2	9	14:32:00	14:32:00		Lubelska Ogrody Hiszpańskie 11 nż
83-1	2	9	14:33:00	14:33:00		Lubelska Os. Ogrody 09 nż
83-1	2	9	14:34:00	14:34:00		Lubelska / Borowa 07 nż
83-1	2	9	14:36:00	14:36:00		Lubelska kościół 05 nż
83-1	2	9	14:38:00	14:38:00		Lubelska szpital 01
83-1	2	9	14:41:00	14:41:00		Marszałkowska 01
83-1	2	9	14:46:00	14:46:00		Piłsudskiego U. Wojewódzki 05
83-1	2	9	14:51:00	14:51:00		Dworzec Główny PKP 03
83-1	2	9	14:53:00	14:53:00		Bardowskiego 03
83-1	2	9	14:55:00	14:55:00		Piłsudskiego ZDZ 01 nż
83-1	2	9	14:57:00	14:57:00		Rejtana / Lwowska 01
83-1	2	9	14:58:00	14:58:00		Rejtana / Kustronia 03 nż
83-1	2	9	15:00:00	15:00:00		Rejtana uniwersytet 05
83-1	2	9	15:03:00	15:03:00		Rejtana / Kopisto 07
83-1	2	9	15:06:00	15:06:00		Rejtana / Popiełuszki 09
83-1	2	9	15:09:00	15:09:00		Sikorskiego / Powst. Warszawy 02 nż
83-1	2	9	15:10:00	15:10:00		Sikorskiego katedra 04 nż
83-1	2	9	15:11:00	15:11:00		Łukasiewicza / Sikorskiego 02 nż
83-1	2	9	15:12:00	15:12:00		Łukasiewicza / Zimowit 04 nż
83-1	2	9	15:13:00	15:13:00		Łukasiewicza / Gumińskich 06 nż
83-1	2	9	15:14:00	15:14:00		Łukasiewicza pętla 08
83-1	2	9	15:16:00	15:16:00		Kiepury / Herberta 02 nż
83-1	2	9	15:17:00	15:17:00		Matysowska / Skalista 02 nż
83-1	2	9	15:19:00	15:19:00		Matysowska szkoła 04 nż
83-1	2	9	15:20:00	15:20:00		Matysowska górka 06 nż
83-1	2	9	15:21:00	15:21:00		Matysowska / Pienińska 08 nż
83-1	2	9	15:22:00	15:22:00		Pienińska pętla 03
